plate,raw_track,expected_stage_flow,actual_stage_flow,expected_report_sequence,actual_report_sequence,status
KA1211AO,2026-03-19 10:45:36 Service -> Drive-In ; 2026-03-19 11:03:46 Drive-In -> Service ; 2026-03-19 11:12:11 Service In ; 2026-03-19 13:15:00 Service Out ; 2026-03-19 13:37:54 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard,Test-Drive [2026-03-19 10:45:36 → 2026-03-19 11:03:45] ; Backyard [2026-03-19 11:03:46 → 2026-03-19 11:12:10] ; Service [2026-03-19 11:12:11 → 2026-03-19 13:14:59] ; Backyard [2026-03-19 13:15:00 → ∅],Test-Drive [2026-03-19T10:45:36.661 → 2026-03-19T11:03:45.133] ; Backyard [2026-03-19T11:03:46.133 → 2026-03-19T11:12:10.346] ; Service [2026-03-19T11:12:11.346 → 2026-03-19T13:14:59.791] ; Backyard [2026-03-19T13:15:00.791 → ∅],DIFF
KA2009PB,2026-03-18 09:35:37 Service -> Drive-In ; 2026-03-19 08:48:52 Service -> Drive-In,,,,,OK
KA2105PE,2026-03-19 09:05:26 Service -> Drive-In,,,,,OK
KA2458FT,2026-03-18 18:42:41 Parking In,Parking,Parking,Parking [2026-03-18 18:42:41 → ∅],Parking [2026-03-18T18:42:41.267 → ∅],DIFF
KA2654TA,2026-03-17 13:01:22 Parking In ; 2026-03-17 13:34:26 Service -> Drive-In ; 2026-03-17 13:35:20 Parking Out ; 2026-03-17 14:44:12 Parking In ; 2026-03-17 15:13:54 Service -> Drive-In ; 2026-03-17 15:14:39 Parking Out ; 2026-03-18 10:56:12 Parking In ; 2026-03-18 11:28:36 Service -> Drive-In ; 2026-03-18 11:29:58 Parking Out ; 2026-03-18 16:34:52 Service -> Drive-In ; 2026-03-18 18:21:30 Parking In ; 2026-03-18 18:25:04 Service -> Drive-In ; 2026-03-18 18:27:08 Parking Out ; 2026-03-19 10:14:19 Parking In ; 2026-03-19 10:31:58 Parking Out,Parking → Parking* → Backyard → Parking → Parking* → Backyard → Parking → Parking* → Backyard || Parking → Parking* → Backyard → Parking → Backyard,Parking → Parking → Backyard → Parking → Parking → Backyard → Parking → Parking → Backyard → Parking → Parking → Backyard → Parking → Backyard,Parking [2026-03-17 13:01:22 → 2026-03-17 13:34:25] ; Parking [∅ → 2026-03-17 13:35:20] ; Backyard [2026-03-17 13:35:20 → 2026-03-17 14:44:11] ; Parking [2026-03-17 14:44:12 → 2026-03-17 15:13:53] ; Parking [∅ → 2026-03-17 15:14:39] ; Backyard [2026-03-17 15:14:39 → 2026-03-18 10:56:11] ; Parking [2026-03-18 10:56:12 → 2026-03-18 11:28:35] ; Parking [∅ → 2026-03-18 11:29:58] ; Backyard [2026-03-18 11:29:58 → 2026-03-18 16:34:51] || Parking [2026-03-18 18:21:30 → 2026-03-18 18:25:03] ; Parking [∅ → 2026-03-18 18:27:08] ; Backyard [2026-03-18 18:27:08 → 2026-03-19 10:14:18] ; Parking [2026-03-19 10:14:19 → 2026-03-19 10:31:57] ; Backyard [2026-03-19 10:31:58 → ∅],Parking [2026-03-17T13:01:22.397 → 2026-03-17T13:34:25.992] ; Parking [∅ → 2026-03-17T13:35:20.809] ; Backyard [2026-03-17T13:35:20.809 → 2026-03-17T14:44:11.677] ; Parking [2026-03-17T14:44:12.677 → 2026-03-17T15:13:53.844] ; Parking [∅ → 2026-03-17T15:14:39.991] ; Backyard [2026-03-17T15:14:39.991 → 2026-03-18T10:56:11.525] ; Parking [2026-03-18T10:56:12.525 → 2026-03-18T11:28:35.247] ; Parking [∅ → 2026-03-18T11:29:58.400] ; Backyard [2026-03-18T11:29:58.400 → 2026-03-18T16:34:51.083] ; Parking [2026-03-18T18:21:30.587 → 2026-03-18T18:25:03.954] ; Parking [∅ → 2026-03-18T18:27:08.487] ; Backyard [2026-03-18T18:27:08.487 → 2026-03-19T10:14:18.522] ; Parking [2026-03-19T10:14:19.522 → 2026-03-19T10:31:57.578] ; Backyard [2026-03-19T10:31:58.578 → ∅],DIFF
KA3269BK,2026-03-19 12:41:58 Service -> Drive-In,,,,,OK
KA3547MK,2026-03-19 14:03:03 Drive-In -> Service ; 2026-03-19 14:03:26 Service In,Backyard → Service,Backyard → Service,Backyard [2026-03-19 14:03:03 → 2026-03-19 14:03:25] ; Service [2026-03-19 14:03:26 → ∅],Backyard [2026-03-19T14:03:03.702 → 2026-03-19T14:03:25.115] ; Service [2026-03-19T14:03:26.115 → ∅],DIFF
KA3739PI,2026-03-19 13:11:22 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 13:11:22 → ∅],Backyard [2026-03-19T13:11:22.234 → ∅],DIFF
KA3844CH,2026-03-19 13:16:07 Service -> Drive-In,,,,,OK
KA3915EA,2026-03-17 13:21:42 Service In ; 2026-03-17 13:39:04 Service -> Drive-In ; 2026-03-17 14:37:10 Drive-In -> Service,Service → Test-Drive → Backyard,Service → Test-Drive → Backyard,Service [2026-03-17 13:21:42 → 2026-03-17 13:39:03] ; Test-Drive [2026-03-17 13:39:04 → 2026-03-17 14:37:09] ; Backyard [2026-03-17 14:37:10 → ∅],Service [2026-03-17T13:21:42.546 → 2026-03-17T13:39:03.239] ; Test-Drive [2026-03-17T13:39:04.239 → 2026-03-17T14:37:09.479] ; Backyard [2026-03-17T14:37:10.479 → ∅],DIFF
KA4331PX,2026-03-18 10:55:33 Parking In ; 2026-03-18 11:21:35 Service -> Drive-In ; 2026-03-18 11:22:35 Service -> Drive-In ; 2026-03-18 11:31:10 Parking Out,Parking → Test-Drive → Parking* → Backyard,Parking → Test-Drive → Parking → Backyard,Parking [2026-03-18 10:55:33 → 2026-03-18 11:21:34] ; Test-Drive [2026-03-18 11:22:35 → 2026-03-18 11:31:09] ; Parking [∅ → 2026-03-18 11:31:10] ; Backyard [2026-03-18 11:31:10 → ∅],Parking [2026-03-18T10:55:33.502 → 2026-03-18T11:21:34.096] ; Test-Drive [2026-03-18T11:22:35.239 → 2026-03-18T11:31:09.394] ; Parking [∅ → 2026-03-18T11:31:10.394] ; Backyard [2026-03-18T11:31:10.394 → ∅],DIFF
KA4415ME,2026-03-18 11:33:36 Service -> Drive-In ; 2026-03-18 11:52:49 Drive-In -> Service ; 2026-03-18 11:53:15 Service In ; 2026-03-18 15:49:17 Service Out ; 2026-03-18 15:57:02 Service -> Drive-In ; 2026-03-18 16:30:41 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard → Test-Drive → Backyard,Test-Drive → Backyard → Service → Backyard → Test-Drive → Backyard,Test-Drive [2026-03-18 11:33:36 → 2026-03-18 11:52:48] ; Backyard [2026-03-18 11:52:49 → 2026-03-18 11:53:14] ; Service [2026-03-18 11:53:15 → 2026-03-18 15:49:16] ; Backyard [2026-03-18 15:49:17 → 2026-03-18 15:57:01] ; Test-Drive [2026-03-18 15:57:02 → 2026-03-18 16:30:40] ; Backyard [2026-03-18 16:30:41 → ∅],Test-Drive [2026-03-18T11:33:36.316 → 2026-03-18T11:52:48.632] ; Backyard [2026-03-18T11:52:49.632 → 2026-03-18T11:53:14.072] ; Service [2026-03-18T11:53:15.072 → 2026-03-18T15:49:16.352] ; Backyard [2026-03-18T15:49:17.352 → 2026-03-18T15:57:01.525] ; Test-Drive [2026-03-18T15:57:02.525 → 2026-03-18T16:30:40.964] ; Backyard [2026-03-18T16:30:41.964 → ∅],DIFF
KA4444C,2026-03-18 16:19:01 Service Out,Service* → Backyard,Service → Backyard,Service [∅ → 2026-03-18 16:19:01] ; Backyard [2026-03-18 16:19:01 → ∅],Service [∅ → 2026-03-18T16:19:01.030] ; Backyard [2026-03-18T16:19:01.030 → ∅],DIFF
KA4444CX,2026-03-18 17:23:44 Service -> Drive-In ; 2026-03-19 11:17:18 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 11:17:18 → ∅],Backyard [2026-03-19T11:17:18.698 → ∅],DIFF
KA4511P,2026-03-18 11:31:20 Parking In,Parking,Parking,Parking [2026-03-18 11:31:20 → ∅],Parking [2026-03-18T11:31:20.691 → ∅],DIFF
KA4730AM,2026-03-18 08:23:15 Service -> Drive-In ; 2026-03-19 08:26:50 Service -> Drive-In,,,,,OK
KA4796PC,2026-03-18 09:01:42 Service -> Drive-In,,,,,OK
KA5086KA,2026-03-19 10:06:30 Drive-In -> Service ; 2026-03-19 10:15:11 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-19 10:06:30 → ∅],Backyard [2026-03-19T10:06:30.936 → ∅],DIFF
KA5257TB,2026-03-17 16:03:07 Service -> Drive-In ; 2026-03-18 08:50:55 Service -> Drive-In,,,,,OK
KA5412BM,2026-03-18 09:03:01 Service -> Drive-In ; 2026-03-19 08:27:04 Service -> Drive-In,,,,,OK
KA603H,2026-03-18 17:44:29 Service In,Service,Service,Service [2026-03-18 17:44:29 → ∅],Service [2026-03-18T17:44:29.869 → ∅],DIFF
KA6050H,2026-03-18 17:44:30 Service In,Service,Service,Service [2026-03-18 17:44:30 → ∅],Service [2026-03-18T17:44:30.013 → ∅],DIFF
KA6050PH,2026-03-18 12:44:15 Service -> Drive-In ; 2026-03-18 17:43:49 Drive-In -> Service ; 2026-03-19 11:12:54 Service Out,Backyard → Service*,Backyard,Backyard [2026-03-18 17:43:49 → ∅] ; Service [∅ → 2026-03-19 11:12:54],Backyard [2026-03-18T17:43:49.418 → ∅],DIFF
KA6137MT,2026-03-17 12:54:53 Parking In ; 2026-03-17 13:01:20 Drive-In -> Service,Parking → Backyard,Parking → Backyard,Parking [2026-03-17 12:54:53 → 2026-03-17 13:01:19] ; Backyard [2026-03-17 13:01:20 → ∅],Parking [2026-03-17T12:54:53.762 → 2026-03-17T13:01:19.218] ; Backyard [2026-03-17T13:01:20.218 → ∅],DIFF
KA6274EX,2026-03-17 15:02:21 Service -> Drive-In ; 2026-03-17 15:05:11 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 15:05:11 → ∅],Backyard [2026-03-17T15:05:11.365 → ∅],DIFF
KA6550TB,2026-03-18 13:56:58 Service -> Drive-In ; 2026-03-18 14:22:21 Drive-In -> Service,Test-Drive → Backyard,Test-Drive → Backyard,Test-Drive [2026-03-18 13:56:58 → 2026-03-18 14:22:20] ; Backyard [2026-03-18 14:22:21 → ∅],Test-Drive [2026-03-18T13:56:58.185 → 2026-03-18T14:22:20.437] ; Backyard [2026-03-18T14:22:21.437 → ∅],DIFF
KA6574CE,2026-03-19 08:40:17 Service -> Drive-In,,,,,OK
KA7000CX,2026-03-17 15:01:59 Drive-In -> Service ; 2026-03-17 15:02:43 Service In ; 2026-03-18 10:19:48 Drive-In -> Service ; 2026-03-18 10:20:51 Parking Out ; 2026-03-18 14:06:08 Service -> Drive-In ; 2026-03-18 14:17:52 Drive-In -> Service,Backyard → Service → Backyard → Parking* → Test-Drive → Backyard,Backyard → Service → Backyard → Test-Drive → Backyard,Backyard [2026-03-17 15:01:59 → 2026-03-17 15:02:42] ; Service [2026-03-17 15:02:43 → 2026-03-18 10:19:47] ; Backyard [2026-03-18 10:19:48 → 2026-03-18 14:06:07] ; Parking [∅ → 2026-03-18 10:20:51] ; Test-Drive [2026-03-18 14:06:08 → 2026-03-18 14:17:51] ; Backyard [2026-03-18 14:17:52 → ∅],Backyard [2026-03-17T15:01:59.947 → 2026-03-17T15:02:42.928] ; Service [2026-03-17T15:02:43.928 → 2026-03-18T10:19:47.848] ; Backyard [2026-03-18T10:19:48.848 → 2026-03-18T14:06:07.428] ; Test-Drive [2026-03-18T14:06:08.428 → 2026-03-18T14:17:51.812] ; Backyard [2026-03-18T14:17:52.812 → ∅],DIFF
KA7361PT,2026-03-17 14:58:43 Parking In ; 2026-03-17 15:00:14 Service In ; 2026-03-18 12:58:21 Service In ; 2026-03-18 14:01:53 Parking Out,Parking → Service → Parking* → Backyard,Parking → Service → Parking → Backyard,Parking [2026-03-17 14:58:43 → 2026-03-17 15:00:13] ; Service [2026-03-17 15:00:14 → ∅] ; Parking [∅ → 2026-03-18 14:01:53] ; Backyard [2026-03-18 14:01:53 → ∅],Parking [2026-03-17T14:58:43.874 → 2026-03-17T15:00:13.672] ; Service [2026-03-17T15:00:14.672 → 2026-03-18T14:01:52.296] ; Parking [∅ → 2026-03-18T14:01:53.296] ; Backyard [2026-03-18T14:01:53.296 → ∅],DIFF
KA7368PT,2026-03-17 14:46:23 Service In ; 2026-03-18 16:26:06 Drive-In -> Service,Service → Backyard,Service → Backyard,Service [2026-03-17 14:46:23 → 2026-03-18 16:26:05] ; Backyard [2026-03-18 16:26:06 → ∅],Service [2026-03-17T14:46:23.219 → 2026-03-18T16:26:05.952] ; Backyard [2026-03-18T16:26:06.952 → ∅],DIFF
KA7458PT,2026-03-17 16:58:57 Parking In ; 2026-03-17 17:37:26 Drive-In -> Service ; 2026-03-17 17:42:45 Parking Out ; 2026-03-18 09:06:52 Parking In ; 2026-03-18 09:54:27 Drive-In -> Service ; 2026-03-18 18:42:37 Parking Out,Parking → Backyard → Parking* → Parking → Backyard → Parking*,Parking → Backyard → Parking → Backyard,Parking [2026-03-17 16:58:57 → 2026-03-17 17:37:25] ; Backyard [2026-03-17 17:37:26 → 2026-03-18 09:06:51] ; Parking [∅ → 2026-03-17 17:42:45] ; Parking [2026-03-18 09:06:52 → 2026-03-18 09:54:26] ; Backyard [2026-03-18 09:54:27 → ∅] ; Parking [∅ → 2026-03-18 18:42:37],Parking [2026-03-17T16:58:57.625 → 2026-03-17T17:37:25.596] ; Backyard [2026-03-17T17:37:26.596 → 2026-03-18T09:06:51.922] ; Parking [2026-03-18T09:06:52.922 → 2026-03-18T09:54:26.122] ; Backyard [2026-03-18T09:54:27.122 → ∅],DIFF
KA7509T,2026-03-18 14:02:15 Parking Out,Parking* → Backyard,Parking → Backyard,Parking [∅ → 2026-03-18 14:02:15] ; Backyard [2026-03-18 14:02:15 → ∅],Parking [∅ → 2026-03-18T14:02:15.838] ; Backyard [2026-03-18T14:02:15.838 → ∅],DIFF
KA7781PA,2026-03-18 09:15:13 Service In ; 2026-03-18 09:16:18 Service In ; 2026-03-18 09:21:02 Service In ; 2026-03-18 09:22:02 Service In ; 2026-03-18 09:23:31 Service In ; 2026-03-18 09:24:32 Service In ; 2026-03-18 09:25:13 Drive-In -> Service ; 2026-03-18 10:01:39 Drive-In -> Service ; 2026-03-19 08:58:21 Service In ; 2026-03-19 09:02:03 Service In ; 2026-03-19 09:02:42 Service Out,Service → Backyard → Service → Backyard,Service → Backyard → Service → Backyard,Service [2026-03-18 09:15:13 → 2026-03-18 09:25:12] ; Backyard [2026-03-18 09:25:13 → 2026-03-19 08:58:20] ; Service [2026-03-19 08:58:21 → 2026-03-19 09:02:41] ; Backyard [2026-03-19 09:02:42 → ∅],Service [2026-03-18T09:15:13.528 → 2026-03-18T09:25:12.055] ; Backyard [2026-03-18T09:25:13.055 → 2026-03-19T08:58:20.352] ; Service [2026-03-19T08:58:21.352 → 2026-03-19T09:02:41.808] ; Backyard [2026-03-19T09:02:42.808 → ∅],DIFF
KA7828BB,2026-03-18 09:11:57 Service -> Drive-In ; 2026-03-18 10:09:48 Drive-In -> Service ; 2026-03-18 10:10:18 Service In ; 2026-03-19 12:35:59 Service Out ; 2026-03-19 13:10:39 Drive-In -> Service ; 2026-03-19 13:11:06 Service In,Test-Drive → Backyard → Service → Backyard → Service,Test-Drive → Backyard → Service → Backyard → Service,Test-Drive [2026-03-18 09:11:57 → 2026-03-18 10:09:47] ; Backyard [2026-03-18 10:09:48 → 2026-03-18 10:10:17] ; Service [2026-03-18 10:10:18 → 2026-03-19 12:35:58] ; Backyard [2026-03-19 12:35:59 → 2026-03-19 13:11:05] ; Service [2026-03-19 13:11:06 → ∅],Test-Drive [2026-03-18T09:11:57.871 → 2026-03-18T10:09:47.555] ; Backyard [2026-03-18T10:09:48.555 → 2026-03-18T10:10:17.382] ; Service [2026-03-18T10:10:18.382 → 2026-03-19T12:35:58.297] ; Backyard [2026-03-19T12:35:59.297 → 2026-03-19T13:11:05.729] ; Service [2026-03-19T13:11:06.729 → ∅],DIFF
KA7945EE,2026-03-17 14:58:04 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 14:58:04 → ∅],Backyard [2026-03-17T14:58:04.145 → ∅],DIFF
KA8116MC,2026-03-19 11:43:08 Service -> Drive-In ; 2026-03-19 11:57:48 Drive-In -> Service ; 2026-03-19 11:58:41 Service In,Test-Drive → Backyard → Service,Test-Drive → Backyard → Service,Test-Drive [2026-03-19 11:43:08 → 2026-03-19 11:57:47] ; Backyard [2026-03-19 11:57:48 → 2026-03-19 11:58:40] ; Service [2026-03-19 11:58:41 → ∅],Test-Drive [2026-03-19T11:43:08.140 → 2026-03-19T11:57:47.136] ; Backyard [2026-03-19T11:57:48.136 → 2026-03-19T11:58:40.045] ; Service [2026-03-19T11:58:41.045 → ∅],DIFF
KA8176TB,2026-03-17 13:46:49 Parking In ; 2026-03-17 15:34:05 Parking Out,Parking → Backyard,Parking → Backyard,Parking [2026-03-17 13:46:49 → 2026-03-17 15:34:04] ; Backyard [2026-03-17 15:34:05 → ∅],Parking [2026-03-17T13:46:49.435 → 2026-03-17T15:34:04.400] ; Backyard [2026-03-17T15:34:05.400 → ∅],DIFF
KA8177MT,2026-03-18 10:00:05 Service -> Drive-In,,,,,OK
KA8186TB,2026-03-17 13:31:29 Parking In ; 2026-03-17 14:29:50 Parking Out ; 2026-03-18 12:05:36 Parking In ; 2026-03-18 12:47:12 Service -> Drive-In ; 2026-03-18 15:14:42 Service -> Drive-In ; 2026-03-19 12:43:05 Parking In ; 2026-03-19 12:50:58 Parking Out,Parking → Backyard → Parking || Parking → Backyard,Parking → Backyard → Parking → Parking → Backyard,Parking [2026-03-17 13:31:29 → 2026-03-17 14:29:49] ; Backyard [2026-03-17 14:29:50 → 2026-03-18 12:05:35] ; Parking [2026-03-18 12:05:36 → 2026-03-18 12:47:11] || Parking [2026-03-19 12:43:05 → 2026-03-19 12:50:57] ; Backyard [2026-03-19 12:50:58 → ∅],Parking [2026-03-17T13:31:29.220 → 2026-03-17T14:29:49.919] ; Backyard [2026-03-17T14:29:50.919 → 2026-03-18T12:05:35.888] ; Parking [2026-03-18T12:05:36.888 → 2026-03-18T12:47:11.600] ; Parking [2026-03-19T12:43:05.219 → 2026-03-19T12:50:57.014] ; Backyard [2026-03-19T12:50:58.014 → ∅],DIFF
KA8390PI,2026-03-18 17:08:20 Parking In ; 2026-03-18 17:33:51 Service -> Drive-In ; 2026-03-18 17:34:44 Parking Out ; 2026-03-19 11:59:35 Parking In ; 2026-03-19 12:14:01 Service -> Drive-In ; 2026-03-19 12:14:41 Parking Out ; 2026-03-19 12:41:04 Parking In,Parking → Parking* → Backyard → Parking → Parking* → Backyard → Parking,Parking → Parking → Backyard → Parking → Parking → Backyard → Parking,Parking [2026-03-18 17:08:20 → 2026-03-18 17:33:50] ; Parking [∅ → 2026-03-18 17:34:44] ; Backyard [2026-03-18 17:34:44 → 2026-03-19 11:59:34] ; Parking [2026-03-19 11:59:35 → 2026-03-19 12:14:00] ; Parking [∅ → 2026-03-19 12:14:41] ; Backyard [2026-03-19 12:14:41 → 2026-03-19 12:41:03] ; Parking [2026-03-19 12:41:04 → ∅],Parking [2026-03-18T17:08:20.685 → 2026-03-18T17:33:50.651] ; Parking [∅ → 2026-03-18T17:34:44.988] ; Backyard [2026-03-18T17:34:44.988 → 2026-03-19T11:59:34.495] ; Parking [2026-03-19T11:59:35.495 → 2026-03-19T12:14:00.129] ; Parking [∅ → 2026-03-19T12:14:41.962] ; Backyard [2026-03-19T12:14:41.962 → 2026-03-19T12:41:03.489] ; Parking [2026-03-19T12:41:04.489 → ∅],DIFF
KA8564KK,2026-03-18 08:22:56 Service -> Drive-In ; 2026-03-19 08:18:25 Service -> Drive-In,,,,,OK
KA8611PK,2026-03-17 12:57:55 Parking In ; 2026-03-17 12:59:52 Parking Out ; 2026-03-17 15:41:31 Parking In ; 2026-03-17 17:37:26 Parking Out ; 2026-03-18 11:22:04 Parking In ; 2026-03-18 12:12:14 Service -> Drive-In ; 2026-03-18 12:13:07 Parking Out ; 2026-03-18 13:28:11 Service -> Drive-In,Parking → Backyard → Parking → Backyard → Parking → Parking* → Backyard,Parking → Backyard → Parking → Backyard → Parking → Parking → Backyard,Parking [2026-03-17 12:57:55 → 2026-03-17 12:59:51] ; Backyard [2026-03-17 12:59:52 → 2026-03-17 15:41:30] ; Parking [2026-03-17 15:41:31 → 2026-03-17 17:37:25] ; Backyard [2026-03-17 17:37:26 → 2026-03-18 11:22:03] ; Parking [2026-03-18 11:22:04 → 2026-03-18 12:12:13] ; Parking [∅ → 2026-03-18 12:13:07] ; Backyard [2026-03-18 12:13:07 → 2026-03-18 13:28:10],Parking [2026-03-17T12:57:55.288 → 2026-03-17T12:59:51.545] ; Backyard [2026-03-17T12:59:52.545 → 2026-03-17T15:41:30.500] ; Parking [2026-03-17T15:41:31.500 → 2026-03-17T17:37:25.575] ; Backyard [2026-03-17T17:37:26.575 → 2026-03-18T11:22:03.221] ; Parking [2026-03-18T11:22:04.221 → 2026-03-18T12:12:13.631] ; Parking [∅ → 2026-03-18T12:13:07.125] ; Backyard [2026-03-18T12:13:07.125 → 2026-03-18T13:28:10.464],DIFF
KA8643HP,2026-03-18 15:26:48 Service -> Drive-In,,,,,OK
KA8820IA,2026-03-17 14:10:24 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 14:10:24 → ∅],Backyard [2026-03-17T14:10:24.609 → ∅],DIFF
KA9158HO,2026-03-18 08:37:24 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-18 08:37:24 → ∅],Backyard [2026-03-18T08:37:24.741 → ∅],DIFF
KA9307HI,2026-03-18 15:26:36 Service -> Drive-In ; 2026-03-18 15:31:40 Drive-In -> Service,Test-Drive → Backyard,Test-Drive → Backyard,Test-Drive [2026-03-18 15:26:36 → 2026-03-18 15:31:39] ; Backyard [2026-03-18 15:31:40 → ∅],Test-Drive [2026-03-18T15:26:36.858 → 2026-03-18T15:31:39.018] ; Backyard [2026-03-18T15:31:40.018 → ∅],DIFF
KA9336ME,2026-03-18 17:34:37 Service In ; 2026-03-19 10:14:24 Service In ; 2026-03-19 11:38:11 Service -> Drive-In ; 2026-03-19 13:01:10 Drive-In -> Service ; 2026-03-19 13:04:00 Parking Out,Service || Backyard → Parking*,Service → Backyard,Service [2026-03-18 17:34:37 → 2026-03-19 11:38:10] || Backyard [2026-03-19 13:01:10 → ∅] ; Parking [∅ → 2026-03-19 13:04:00],Service [2026-03-18T17:34:37.663 → 2026-03-19T11:38:10.764] ; Backyard [2026-03-19T13:01:10.831 → ∅],DIFF
KA9911AO,2026-03-18 13:04:19 Service -> Drive-In ; 2026-03-18 13:19:20 Drive-In -> Service ; 2026-03-18 13:19:53 Service In ; 2026-03-18 13:57:31 Service -> Drive-In ; 2026-03-18 14:00:03 Drive-In -> Service,Test-Drive → Backyard → Service → Backyard,Test-Drive → Backyard → Service → Backyard,Test-Drive [2026-03-18 13:04:19 → 2026-03-18 13:19:19] ; Backyard [2026-03-18 13:19:20 → 2026-03-18 13:19:52] ; Service [2026-03-18 13:19:53 → 2026-03-18 13:57:30] ; Backyard [2026-03-18 14:00:03 → ∅],Test-Drive [2026-03-18T13:04:19.383 → 2026-03-18T13:19:19.861] ; Backyard [2026-03-18T13:19:20.861 → 2026-03-18T13:19:52.459] ; Service [2026-03-18T13:19:53.459 → 2026-03-18T13:57:30.841] ; Backyard [2026-03-18T14:00:03.362 → ∅],DIFF
KA9990BH,2026-03-17 17:45:45 Service -> Drive-In ; 2026-03-17 17:55:08 Drive-In -> Service ; 2026-03-17 17:56:06 Service In,Test-Drive → Backyard → Service,Test-Drive → Backyard → Service,Test-Drive [2026-03-17 17:45:45 → 2026-03-17 17:55:07] ; Backyard [2026-03-17 17:55:08 → 2026-03-17 17:56:05] ; Service [2026-03-17 17:56:06 → ∅],Test-Drive [2026-03-17T17:45:45.036 → 2026-03-17T17:55:07.616] ; Backyard [2026-03-17T17:55:08.616 → 2026-03-17T17:56:05.969] ; Service [2026-03-17T17:56:06.969 → ∅],DIFF
KI0678AC,2026-03-18 08:44:02 Service -> Drive-In ; 2026-03-18 08:46:33 Service -> Drive-In ; 2026-03-18 09:57:38 Drive-In -> Service ; 2026-03-18 09:58:09 Service In ; 2026-03-18 14:10:21 Service In ; 2026-03-18 15:44:37 Service -> Drive-In ; 2026-03-18 15:57:57 Drive-In -> Service,Backyard → Service → Test-Drive → Backyard,Backyard → Service → Test-Drive → Backyard,Backyard [2026-03-18 09:57:38 → 2026-03-18 09:58:08] ; Service [2026-03-18 09:58:09 → 2026-03-18 15:44:36] ; Test-Drive [2026-03-18 15:44:37 → 2026-03-18 15:57:56] ; Backyard [2026-03-18 15:57:57 → ∅],Backyard [2026-03-18T09:57:38.804 → 2026-03-18T09:58:08.064] ; Service [2026-03-18T09:58:09.064 → 2026-03-18T15:44:36.580] ; Test-Drive [2026-03-18T15:44:37.580 → 2026-03-18T15:57:56.289] ; Backyard [2026-03-18T15:57:57.289 → ∅],DIFF
KI2813AB,2026-03-18 09:18:18 Service -> Drive-In,,,,,OK
KI8888XP,2026-03-19 14:13:32 Drive-In -> Service ; 2026-03-19 14:14:19 Service In ; 2026-03-19 14:22:50 Service Out ; 2026-03-19 14:23:50 Service In,Backyard → Service → Backyard → Service,Backyard → Service → Backyard → Service,Backyard [2026-03-19 14:13:32 → 2026-03-19 14:14:18] ; Service [2026-03-19 14:14:19 → 2026-03-19 14:22:49] ; Backyard [2026-03-19 14:22:50 → 2026-03-19 14:23:49] ; Service [2026-03-19 14:23:50 → ∅],Backyard [2026-03-19T14:13:32.716 → 2026-03-19T14:14:18.322] ; Service [2026-03-19T14:14:19.322 → 2026-03-19T14:22:49.774] ; Backyard [2026-03-19T14:22:50.774 → 2026-03-19T14:23:49.905] ; Service [2026-03-19T14:23:50.905 → ∅],DIFF
KO4331P,2026-03-18 10:55:44 Parking In,Parking,Parking,Parking [2026-03-18 10:55:44 → ∅],Parking [2026-03-18T10:55:44.532 → ∅],DIFF
XA9311AO,2026-03-18 13:19:22 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-18 13:19:22 → ∅],Backyard [2026-03-18T13:19:22.257 → ∅],DIFF
